 Hi! We're solving van der Pol using            4  processes.
  
   t     x1         x2
  1.0   0.797769  -0.023071
  2.0   0.329199  -0.976382
  3.0  -1.179930  -1.568778
  4.0  -1.612925   0.420202
  5.0  -0.793129   1.277687
  6.0   1.281391   2.367217
  7.0   1.901221  -0.438267
  8.0   1.185854  -1.006074
  9.0  -0.478191  -2.566440
 10.0  -2.008160   0.081238
 11.0  -1.485865   0.797409
 12.0  -0.269114   1.891835
 13.0   1.896096   0.895163
 14.0   1.725133  -0.638373
 15.0   0.801735  -1.340739
 16.0  -1.343091  -2.360150
 17.0  -1.909996   0.455939
 18.0  -1.188969   1.006619
 19.0   0.473981   2.565922
 20.0   2.008888  -0.078764
 21.0   1.487714  -0.796339
 22.0   0.273355  -1.887353
 23.0  -1.894100  -0.904617
 24.0  -1.726573   0.637333
 25.0  -0.804754   1.337860
 26.0   1.337759   2.367402
 27.0   1.911022  -0.454350
 28.0   1.191236  -1.004881
 29.0  -0.468200  -2.562477
 30.0  -2.009059   0.074754
 31.0  -1.489507   0.795165
 32.0  -0.277604   1.882806
 33.0   1.892045   0.914192
 34.0   1.728009  -0.636287
 35.0   0.807766  -1.334990
 36.0  -1.332409  -2.374579
 37.0  -1.912044   0.452752
 38.0  -1.193499   1.003148
 39.0   0.462428   2.558994
 40.0   2.009221  -0.070715
 41.0   1.491299  -0.793993
 42.0   0.281842  -1.878269
 43.0  -1.889968  -0.923802
 44.0  -1.729442   0.635239
 45.0  -0.810772   1.332129
 46.0   1.327042   2.381680
 47.0   1.913062  -0.451146
 48.0   1.195758  -1.001421
 49.0  -0.456663  -2.555474
 50.0  -2.009374   0.066648
 51.0  -1.493087   0.792823
 52.0  -0.286070   1.873742
 53.0   1.887869   0.933446
 54.0   1.730873  -0.634190
 55.0   0.813771  -1.329279
 56.0  -1.321661  -2.388704
 57.0  -1.914077   0.449532
 58.0  -1.198013   0.999699
 59.0   0.450907   2.551916
 60.0   2.009518  -0.062553
 61.0   1.494873  -0.791656
 62.0   0.290288  -1.869224
 63.0  -1.885748  -0.943125
 64.0  -1.732301   0.633141
 65.0  -0.816764   1.326439
 66.0   1.316263   2.395651
 67.0   1.915088  -0.447910
 68.0   1.200265  -0.997982
 69.0  -0.445158  -2.548322
 70.0  -2.009652   0.058430
 71.0  -1.496656   0.790491
 72.0  -0.294495   1.864717
 73.0   1.883606   0.952837
 74.0   1.733727  -0.632091
 75.0   0.819750  -1.323609
 76.0  -1.310850  -2.402520
 77.0  -1.916095   0.446280
 78.0  -1.202512   0.996271
 79.0   0.439418   2.544693
 80.0   2.009777  -0.054278
 81.0   1.498437  -0.789328
 82.0   0.298693  -1.860221
 83.0  -1.881441  -0.962583
 84.0  -1.735151   0.631040
 85.0  -0.822730   1.320788
 86.0   1.305421   2.409311
 87.0   1.917099  -0.444642
 88.0   1.204756  -0.994566
 89.0  -0.433685  -2.541028
 90.0  -2.009893   0.050097
 91.0  -1.500215   0.788167
 92.0  -0.302880   1.855734
 93.0   1.879255   0.972363
 94.0   1.736572  -0.629988
 95.0   0.825704  -1.317978
 96.0  -1.299977  -2.416023
 97.0  -1.918099   0.442995
 98.0  -1.206996   0.992865
 99.0   0.427962   2.537329
100.0   2.009999  -0.045888
